,Title,Document Type,Authors,Source title,Volume,Year,Page start,Page end,DOI,Link,ISSN,Source,Keywords,Abstract
0,BIOREMEDIATION OF SULFATE IN WATER ENVIRONMENT: AN OVERVIEW OF REMOVAL PATHWAYS AND INFLUENCING FACTORS,Article,Yadav G.S.; Ghosh P.K.,Journal of Solid Waste Technology and Management,50.0,2024,430,440,10.5276/JSWTM/ISWMAW/501/2024.430,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193721562&doi=10.5276%2fJSWTM%2fISWMAW%2f501%2f2024.430&partnerID=40&md5=ba2822a0c5a77fe4f067adb5c2e8d15d,10881697,Scopus,Acid mine drainage; Biological treatment; Carbon source; Sulfate reducing bacteria; Sulfide toxicity,"Sulfate-laden wastewater generated from various natural and industrial activities, including mining, metallurgy, electroplating, and battery manufacturing and recycling, has the potential to contaminate both ground and surface water bodies. It is harmful to all forms of life and the environment. Thus, developing an efficient treatment system to address sulfate pollution is necessary. Biological sulfate reduction (BSR) involving sulfate-reducing bacteria offers a better removal of sulfate than conventional physicochemical methods. BSR offers various advantageous such as lower sludge production, removal and recovery of metals, and production of elemental sulfur. However, the performance of bioreactors depends on wastewater sources, microbes involved, and operating conditions. Currently, limited studies are available encapsulating the current state of the art of biological sulfate remediation aimed at optimization of bioreactor design and operation. Therefore, this paper attempts to provide a comprehensive review of the sources of sulfate, its health and ecological effects, microbes involved in sulfate reduction, and its removal pathways that would be beneficial for future bioreactor design. In addition, theoretical and practical aspects of influencing factors have been discussed. Considering the results of the reviewed articles, operating, and set-up conditions are recommended to obtain the higher sulfate removal. It includes dissimilatory sulfate reduction by mixed bacterial culture using sodium lactate as an electron donor with pH near about neutral, mesophilic conditions, [Formula presented] ratio of 0.67-1.7, ORP less than -100 mV, and lesser sulfide concentration. This overview helps to develop an effective strategy for bioremediation of sulfate and decreasing the sulfate-rich industrial effluent footprint. © 2024 Widener University School of Civil Engineering. All rights reserved."
1,Combining slow-release fertilizer and plastic film mulching reduced the carbon footprint and enhanced maize yield on the Loess Plateau,Article,Han X.; Dang P.; Liao L.; Song F.; Zhang M.; Zhang M.; Li G.; Wen S.; Yang N.; Pan X.; Wang X.; Wang W.; Qin X.; Joseph C.O.; Siddique K.H.M.,Journal of Environmental Sciences (China),147.0,2025,359,369,10.1016/j.jes.2023.12.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184138972&doi=10.1016%2fj.jes.2023.12.001&partnerID=40&md5=5952b1e62baa281b2785e10ef420ca1c,10010742,Scopus,Carbon footprint; Economic benefits; Maize grain yield; Plastic film mulching; Slow-release fertilizer,"Agricultural practices significantly contribute to greenhouse gas (GHG) emissions, necessitating cleaner production technologies to reduce environmental pressure and achieve sustainable maize production. Plastic film mulching is commonly used in the Loess Plateau region. Incorporating slow-release fertilizers as a replacement for urea within this practice can reduce nitrogen losses and enhance crop productivity. Combining these techniques represents a novel agricultural approach in semi-arid areas. However, the impact of this integration on soil carbon storage (SOCS), carbon footprint (CF), and economic benefits has received limited research attention. Therefore, we conducted an eight-year study (2015–2022) in the semi-arid northwestern region to quantify the effects of four treatments [urea supplied without plastic film mulching (CK-U), slow-release fertilizer supplied without plastic film mulching (CK-S), urea supplied with plastic film mulching (PM-U), and slow-release fertilizer supplied with plastic film mulching (PM-S)] on soil fertility, economic and environmental benefits. The results revealed that nitrogen fertilizer was the primary contributor to total GHG emissions (≥71.97%). Compared to other treatments, PM-S increased average grain yield by 12.01%–37.89%, water use efficiency by 9.19%–23.33%, nitrogen accumulation by 27.07%–66.19%, and net return by 6.21%–29.57%. Furthermore, PM-S decreased CF by 12.87%–44.31% and CF per net return by 14.25%–41.16%. After eight years, PM-S increased SOCS (0–40 cm) by 2.46%, while PM-U decreased it by 7.09%. These findings highlight the positive effects of PM-S on surface soil fertility, economic gains, and environmental benefits in spring maize production on the Loess Plateau, underscoring its potential for widespread adoption and application. © 2023"
2,Carbon emissions in China's steel industry from a life cycle perspective: Carbon footprint insights,Article,Song X.; Du S.; Deng C.; Shen P.; Xie M.; Zhao C.; Chen C.; Liu X.,Journal of Environmental Sciences (China),148.0,2025,650,664,10.1016/j.jes.2023.04.027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169098473&doi=10.1016%2fj.jes.2023.04.027&partnerID=40&md5=c38fbd0dae6e3d9722a812296c87436b,10010742,Scopus,Carbon dioxide (CO<sub>2</sub>) emissions; Carbon footprint; China; Iron and steel industry; Life cycle,"China is the most important steel producer in the world, and its steel industry is one of the most carbon-intensive industries in China. Consequently, research on carbon emissions from the steel industry is crucial for China to achieve carbon neutrality and meet its sustainable global development goals. We constructed a carbon dioxide (CO2) emission model for China's iron and steel industry from a life cycle perspective, conducted an empirical analysis based on data from 2019, and calculated the CO2 emissions of the industry throughout its life cycle. Key emission reduction factors were identified using sensitivity analysis. The results demonstrated that the CO2 emission intensity of the steel industry was 2.33 ton CO2/ton, and the production and manufacturing stages were the main sources of CO2 emissions, accounting for 89.84% of the total steel life-cycle emissions. Notably, fossil fuel combustion had the highest sensitivity to steel CO2 emissions, with a sensitivity coefficient of 0.68, reducing the amount of fossil fuel combustion by 20% and carbon emissions by 13.60%. The sensitivities of power structure optimization and scrap consumption were similar, while that of the transportation structure adjustment was the lowest, with a sensitivity coefficient of less than 0.1. Given the current strategic goals of peak carbon and carbon neutrality, it is in the best interest of the Chinese government to actively promote energy-saving and low-carbon technologies, increase the ratio of scrap steel to steelmaking, and build a new power system. © 2023"
3,Bioenergy recovery and carbon emissions benefits of short-term bio-thermophilic pretreatment on low organic sewage sludge anaerobic digestion: A pilot-scale study,Article,Wang H.; Fu X.; Huang H.; Shen D.; Fan D.; Zhu L.; Dai X.; Dong B.,Journal of Environmental Sciences (China),148.0,2025,321,335,10.1016/j.jes.2023.08.022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184022157&doi=10.1016%2fj.jes.2023.08.022&partnerID=40&md5=904d0e1a3b5ceafdfa5431c2c5bea628,10010742,Scopus,Anaerobic digestion; Bio-thermophilic pretreatment; Carbon emissions; Molecular microbiology; Pilot scale; Sludge,"Sewage sludge in cities of Yangzi River Belt, China, generally exhibits a lower organic content and higher silt contentdue to leakage of drainage system, which caused low bioenergy recovery and carbon emission benefits in conventional anaerobic digestion (CAD). Therefore, this paper is on a pilot scale, a bio-thermophilic pretreatment anaerobic digestion (BTPAD) for low organic sludge (volatile solids (VS) of 4%) was operated with a long-term continuous flow of 200 days. The VS degradation rate and CH4 yield of BTPAD increased by 19.93% and 53.33%, respectively, compared to those of CAD. The analysis of organic compositions in sludge revealed that BTPAD mainly improved the hydrolysis of proteins in sludge. Further analysis of microbial community proportions by high-throughput sequencing revealed that the short-term bio-thermophilic pretreatment was enriched in Clostridiales, Coprothermobacter and Gelria, was capable of hydrolyzing acidified proteins, and provided more volatile fatty acid (VFA) for the subsequent reaction. Biome combined with fluorescence quantitative polymerase chain reaction (PCR) analysis showed that the number of bacteria with high methanogenic capacity in BTPAD was much higher than that in CAD during the medium temperature digestion stage, indicating that short-term bio-thermophilic pretreatment could provide better methanogenic conditions for BTPAD. Furthermore, the greenhouse gas emission footprint analysis showed that short-term bio-thermophilic pretreatment could reduce the carbon emission of sludge anaerobic digestion system by 19.18%. © 2023"
4,"Sustainability evaluation of C3MR natural gas liquefaction process: Integrating life cycle analysis with Energy, Exergy, and economic aspects",Article,Hareem M.; Raza F.; Kazmi B.; Ghauri R.; Zafar K.; Ahmed H.; Taqvi S.A.A.; Naqvi M.,Journal of Industrial and Engineering Chemistry,137.0,2024,619,636,10.1016/j.jiec.2024.05.041,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194089665&doi=10.1016%2fj.jiec.2024.05.041&partnerID=40&md5=3f90d9598efd1a55c38898ac7b4356a0,1226086X,Scopus,LCA; Liquefaction; Natural gas; Process analysis; Propane-precooled process,"In a transition towards a clean energy future, natural gas serves as an interim fuel due to its lower emissions whereas the C3MR (propane pre-cooled mixed refrigerant process) is widely recognized for high efficiency and commercial scale application converting natural gas to LNG. Previously, numerous studies have been conducted to optimize the energy efficiency and performance of C3MR process but very little contribution has been made towards its sustainability analysis. To address this, a life cycle analysis approach is established to evaluate the carbon footprint of C3MR process. In order to showcase its link with energy consumption and put forward the groundwork of analyses, the research focuses on using simulation – assisted optimization to reduce the specific energy consumption (SEC) of C3MR process by optimizing design variables. The study highlights the use of mixed refrigerant (MR) as a process variable and validates that its optimal implementation has decreased SEC to 0.2195 kWh/kg LNG, while achieving a minimum inlet temperature approach (MITA) of main cryogenic heat exchanger (MCHX), less than 3 °C. The knowledge − based optimization approach applied in this research, developed comparative case studies on which multiple analyses are performed to verify scientific findings. Energy and exergy analyses are conducted to determine thermal efficiency of the process where the optimized case exhibits a reduced difference in its composite curves and an 8.65 % improvement in exergetic performance compared to the base case. The economic indicators assessment reveals that optimized case demonstrates lower capital and operating costs, establishing economic viability. Furthermore, the energy consumption parameters are utilized for evaluation of ecological impact of LNG supply chain through life cycle assessment (LCA) which reflects reduced greenhouse gas (GHG) emissions for optimized case. Hence, the current study fills existing research knowledge gaps in terms of providing a comprehensive process system engineering by evaluating energy synergistic point, thermodynamic irreversibility, process viability and sustainability using life cycle assessment. © 2024 The Korean Society of Industrial and Engineering Chemistry"
5,The effect of dietary changes on the water and carbon footprints in China,Article,Wang J.; Yin Y.; Sun S.; Zhao J.; Tang Y.; Wang Y.; Wu P.,Sustainable Production and Consumption,49.0,2024,276,288,10.1016/j.spc.2024.06.028,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197402030&doi=10.1016%2fj.spc.2024.06.028&partnerID=40&md5=8fe086b950f508b3d0c5ce0dcf0755f1,23525509,Scopus,Carbon footprint; Dietary change; Environmental sustainability; Human health; Life cycle assessment; Water footprint assessment,"Dietary changes impact the production and consumption of plant and animal foods, thereby affecting water resource usage and greenhouse gas emissions. However, previous studies have ignored subnational differences in long-term dietary changes and environmental impacts. This study evaluated the environmental impacts of dietary changes in China from 1997 to 2016 by combining water and carbon footprints. Results indicated significant provincial differences in both total food consumption amounts (277.15 Mt to 445.58 Mt) and patterns. At the national level, water consumption and greenhouse gas emissions of 10 main food items rose sharply from 437.52 ± 131.26 Gm3/yr to 671.13 ± 201.34 Gm3/yr and 273.66 ± 26.43 Mt CO₂ eq. to 443.50 ± 46.96 Mt CO₂ eq. As per capita animal-based food consumption first increased and then decreased, more developed regions with balanced diets showed water-saving and carbon reduction effects. For instance, Beijing reduced its water footprint by 50.44 m3/cap/yr and reduced carbon footprint by 186.05 kg CO₂ eq./cap/yr. In contrast, in less developed regions, animal food consumption has continued to grow over the last two decades, weighing the environmental impacts. Dietary changes in more developed regions can serve as references for less developed areas. Ensuring steady growth in animal food consumption for basic health needs can also support sustainable development. Furthermore, scenario analysis indicated that replacing all meat with plant-based food could achieve maximum water saving by 13 % and maximum emission reduction by 32 % with current energy and nutritional requirements, while towards national dietary guidelines would increase water consumption by 449.43 m3/cap and emissions by 8.48 CO2 eq./cap, dominated by increasing fruits and vegetables. Policies that affect consumers' choices of food patterns could focus more on promoting adequate and appropriate animal food intake towards healthy and environmentally friendly diets, particularly in less developed regions. © 2024 Institution of Chemical Engineers"
6,GREEN TECHNOLOGY INNOVATION AND PRICING DECISIONS CONSIDERING CARBON FOOTPRINT AND GOVERNMENT SUBSIDIES,Article,Liu B.; Ma Y.; Zheng H.; Song Q.; Li K.,Journal of Industrial and Management Optimization,20.0,2024,3291,3316,10.3934/jimo.2024054,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197361744&doi=10.3934%2fjimo.2024054&partnerID=40&md5=b72e126c5ff64e19b1be94bb97267ae2,15475816,Scopus,Authorized remanufacturing; carbon footprint; government subsidies; green technology innovation,"We have developed three distinct decision models to examine the influence of consumer’s carbon footprint sensitivity level and government subsidies on the green technology innovation level of an original equipment manufacturer (OEM), as well as pricing decisions for both the OEM and a third-party remanufacturer (TPR). Our study provides valuable insights for businesses to determine the appropriate green technology innovation level and manage the adverse effects of carbon footprint. The results show that the OEM will set the green technology innovation level according to the consumer’s carbon footprint sensitivity level and the remanufacturing emission reduction coefficient. Only when there is government subsidy and the carbon footprint sensitivity level exceeds a certain threshold, does the profit of OEM increase with a rise in carbon footprint sensitivity level. Otherwise, the carbon footprint only harms the OEM’s profit. While the consumer’s carbon footprint sensitivity level can help reduce the detrimental environmental impact of products, it can also diminish consumer surplus and social welfare. However, government subsidies have the potential to mitigate the adverse effect, making the consumer’s carbon footprint sensitivity level an incentive to increase consumer surplus and social welfare. © (2024), (American Institute of Mathematical Sciences). All Rights Reserved."
7,Transparency pays: How carbon emission disclosure lowers cost of capital,Article,Xu W.; Sun Z.; Ni H.,Economic Analysis and Policy,83.0,2024,165,177,10.1016/j.eap.2024.05.020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196404069&doi=10.1016%2fj.eap.2024.05.020&partnerID=40&md5=7e6051584a095fd04ce32c76cdeda1f4,03135926,Scopus,Carbon emission disclosure; Implied cost of capital; Stock liquidity,"Amidst increasing global attention on corporate environmental responsibility, the impact of carbon emission disclosure on financial outcomes remains a pertinent question. Existing literature suggests that transparency in carbon disclosure can influence investor perception and capital costs, yet detailed mechanisms and broader economic implications are less understood. In this study, using data from Chinese publicly traded companies from 2017 to 2022, we investigate how carbon emission disclosure affects the implied cost of capital, with a focus on the mediating role of stock liquidity. Our findings reveal that enhanced transparency in carbon reporting significantly lowers the implied cost of capital by improving stock liquidity, a previously underexplored channel. This effect is particularly pronounced in sectors with high carbon footprints and within regions emphasizing sustainable finance policies. The results underscore the economic benefits of environmental transparency, suggesting that robust disclosure practices can serve as a strategic tool for firms to reduce financing costs while contributing to broader sustainability goals. © 2024"
8,Using miscanthus and biochar as sustainable substrates in horticulture: An economic and carbon footprint assessment of their primary and cascading value chains,Article,Ruett J.; Abdelshafy A.; Walther G.,Sustainable Production and Consumption,49.0,2024,163,178,10.1016/j.spc.2024.06.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196799136&doi=10.1016%2fj.spc.2024.06.016&partnerID=40&md5=c6036c6f7ba0910e1b3795a5d72a0242,23525509,Scopus,Biochar; Carbon removal; Cascading value chains; Horticultural substrates; Life cycle assessment; Life cycle costing,"Conventional substrates like peat, stone wool and coconut coir are responsible for high greenhouse gas emissions in the horticultural sector, necessitating low-emission and cost-efficient alternatives. Herein, using miscanthus and biochar as substrate components as well as in cascading substrate application can be alternative practices in a sustainable bioeconomy. However, the carbon footprint and economic impacts of these practices in relation to crop yields have not yet been investigated. Hence, we combined life cycle carbon footprint assessment and costing to analyze the Global Warming Potential and value chain costs of horticultural substrates in tomato cultivation in North-Rhine Westphalia. We conducted a comparison between conventional substrates (peat, stone wool, and coconut coir) and single use and cascading miscanthus-based substrates with and without 1–2 % biochar addition of the miscanthus mass. Also, a subsequent scenario analysis was carried out to examine alterations in inputs and costs. Our results demonstrate that miscanthus-based substrates are climate-friendly and low-cost alternatives to the conventional practices. Switching to miscanthus-based substrates results in more emission savings than other input scenarios investigated. Additionally, incorporating biochar and adopting cascading methods contribute to lower emissions. Notably, biochar has the most significant impact, as its amount correlates with higher emission reductions. Additionally, costs for cascading miscanthus-based substrates are lower compared to conventional substrates. Overall, there is only a slight variance in costs between conventional and miscanthus-based substrates. However, with the introduction of carbon emission pricing and carbon removal certificates, miscanthus-based and biochar-containing substrates may emerge as more cost-efficient alternatives. Thus, by advancing financial instruments on carbon emissions and removal, introducing cascade use within and beyond the horticulture sector, and supporting cultivation of sustainable biomasses, miscanthus and biochar can effectively contribute to the development of a sustainable bioeconomy. © 2024 The Authors"
9,Facing the solid waste of cotton straw and plastic mulch film mixture in China: Centralized or decentralized pyrolysis facility?,Article,Zhang H.; Jiang P.; Zhao G.; Li L.; Chen M.; Mu L.; Lu X.; Zhu J.,Waste Management,187.0,2024,22,30,10.1016/j.wasman.2024.07.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197439119&doi=10.1016%2fj.wasman.2024.07.003&partnerID=40&md5=195b537a13b61fae3f8db090ff335277,0956053X,Scopus,Biomass; CO<sub>2</sub> mitigation; Life-cycle assessment; Mobile pyrolysis; Plastic mulch film,"The widespread use of plastic mulch film (PMF) has led to significant environmental pollution, with PMF residues dispersed and mixed with straw and soil, posing challenges for recycling. Here, we proposed the mobile pyrolysis facility for the cotton straw and mulch film mixture (CMM) to mitigate the collection, storage, and transportation costs, while the application of co-pyrolysis technology for CMM conversion could improve the added value of products. Additionally, centralized combustion power generation and centralized pyrolysis systems were also established to evaluate and compare their sustainability from economic and environmental perspectives. Results showed that mobile pyrolysis has better economic performance than the centralized scenarios, due to its high internal rate of return (31 %) and significant net present value (29.21 M USD). Meanwhile, the mobile pyrolysis facility achieved a GWP of −1.298 kgCO2-eq/kg, reducing emissions by 70.79 % and 38.82 % compared to the two centralized scenarios. In conclusion, mobile pyrolysis technology provides a promising solution for PMF residue recycling because of its economically competitive approach with a lower carbon footprint. © 2024"
