type_of_reference,primary_title,authors,journal_name,volume,start_page,year,date,issn,doi,urls,keywords,abstract,number,end_page,secondary_title
JOUR,Decoupling trend and drivers between grain water‑carbon footprint and economy-ecology development in China,"['Sun, Jingxin', 'Sun, Shikun', 'Yin, Yali', 'Wang, Yubao', 'Zhao, Jinfeng', 'Tang, Yihe', 'Wu, Pute']",Agricultural Systems,217,103904,2024,2024/05/01/,0308-521X,https://doi.org/10.1016/j.agsy.2024.103904,['https://www.sciencedirect.com/science/article/pii/S0308521X24000544'],"['Grain water‑carbon footprint', 'Economy-ecology', 'Decoupling assessment', 'Tapio decoupling model', 'Decoupling drivers', 'LMDI model']","CONTEXT Agriculture is not only the basic guarantee for human survival, but also the basis for the economy development and ecology construction. Water use and carbon emissions in grain production will largely determine China's transition to “green”. OBJECTIVE On the basis of finding out how much water is consumed and how much carbon is emitted by grain cultivation, and then finding out whether and what extent water use and carbon emissions affect economic-ecological development in China. METHODS This study uses the Tapio decoupling model to calculate the decoupling status of the grain water‑carbon footprint and economic-ecological development in mainland China from 1998 to 2020. Then the Logarithmic Mean Division Index (LMDI) model is used to analyze the drivers of the change of water-economy decoupling status. RESULTS AND CONCLUSIONS The results show that the grain water‑carbon footprint is well decoupled from economic development, most decoupling states are absolute decoupling (−3<e<0) and relative decoupling ① (0<e<1). The grain water‑carbon footprint decoupled from ecological development is weak, and the decoupling coefficient has significant spatio-temporal differences. The agricultural production technology is the main positive driver for the decoupling between grain water footprint and economic development in mainland China (−1<eB<0). And the economic development scale is the main restraining factor for the decoupling between grain water footprint and economic development (0<eC<1). All provinces in mainland China need to correctly handle the relationship between economy-ecology development and grain security, and take water conservation and carbon emission reduction as an important starting point for adjusting the industrial structure, so as to achieve “green” development. SIGNIFICANCE The grain water‑carbon footprint was calculated in an integrated manner, and then based on the calculation of the decoupling situation, the drivers of the decoupling situation were further assessed.",,,
JOUR,Reducing energy and carbon footprint through diversified rainfed cropping systems,"['Kantwa, Sita Ram', 'Choudhary, Mukesh', 'Agrawal, Rajiv Kumar', 'Dixit, Anoop Kumar', 'Kumar, Sunil', 'Chary, G. Ravindra']",Energy Nexus,14,100306,2024,2024/07/01/,2772-4271,https://doi.org/10.1016/j.nexus.2024.100306,['https://www.sciencedirect.com/science/article/pii/S2772427124000378'],"['Carbon footprint', 'Crop diversification', 'Cropping system', 'Energy budgeting']","Agriculture is the second largest contributor (20 %) to total anthropogenic greenhouse gas (GHG) emissions in the world. There is a need to identify energy and carbon efficient cropping systems that reduce GHG emission and improve environmental quality. Using life cycle assessment (LCA), we evaluated the four cropping systems namely fallow – chickpea (F–C); Sesbania – mustard (Ses–M); blackgram – chickpea (B–C); sorghum + cowpea – mustard (S + C–M) cultivated during the 2018–2022 period. The energy use pattern and the input-output relationship were analysed. Three measures were utilized to quantify carbon footprints: CFa, which denotes emissions per unit area; CFb, indicating emissions per kilogram of yield; and CFe, representing emissions per unit of economic output. The result indicates that non-renewable sources of energy (diesel and fertilizer) contributed more than ∼80 % of the total energy consumed in the different cropping systems. The total energy requirement was the highest for S + C–M (16,972 MJ ha–1), followed by Ses–M (14,365 MJ ha–1), B–C (11,132 MJ ha–1) and F–C (8679 MJ ha–1) cropping systems. The S + C–M cropping system also had the highest energy use efficiency (9.13) followed by F–C (6.03), B–C (5.41) and Ses–M (5.41). The fallow–chickpea cropping system had the lowest values of CFa, CFb, and CFe however, the highest carbon efficiency (10.7) and the carbon sustainability index (9.7) were computed in S + C–M cropping system. Our findings indicate that thoughtfully structured, varied crop systems that integrate legumes and forage crops have the potential to significantly reduce energy consumption and carbon emissions, while sustaining or potentially improving overall productivity within these systems.",,,
JOUR,Spatio-temporal analysis of carbon footprints for urban public transport systems based on smart card data,"['Shang, Wen-Long', 'Chen, Yishui', 'Yu, Qing', 'Song, Xuewang', 'Chen, Yanyan', 'Ma, Xiaolei', 'Chen, Xiqun', 'Tan, Zhijia', 'Huang, Jianling', 'Ochieng, Washington']",Applied Energy,352,121859,2023,2023/12/15/,0306-2619,https://doi.org/10.1016/j.apenergy.2023.121859,['https://www.sciencedirect.com/science/article/pii/S0306261923012230'],"['COVID-19', 'Spatial-temporal analysis', 'Public transport', 'Carbon footprint', 'Carbon neutrality']","The increasing severity of global climate change has made reductions in carbon emissions an urgent global issue. The relative lack of carbon footprint analyses of urban public transportation systems (UPTS) is therefore surprising, given that UPTS is an important component of urban transportation and one that may play a crucial role in carbon emission reduction. This study conducts a spatio-temporal analysis of carbon footprints for UPTS during the COVID-19 pandemic based on smart card data in Beijing. Since the core of carbon footprint calculation is to estimate travellers' trip trajectories and the ridership of urban rail transit (URT) and buses, we construct a novel multi-layer urban rail network model to calculate passenger volume and travellers' trajectories through a traffic assignment model. Furthermore, we utilize the Generalized Additive Model (GAM) to analyse the correlation relationship between the carbon footprints of buses and URT. Additionally, we conduct statistical analysis of the carbon footprint of UPTS. The results of the spatio-temporal analysis of carbon footprints for UPTS show significantly lower carbon emissions during holidays compared to those on working days, and emissions during peak hours contribute approximately half of the total daily UPTS emissions, while there are notable variations in the distribution of the carbon footprint among different districts. Moreover, our analysis reveals a positive correlation between the carbon footprints of buses and URT. The statistical analysis reflects different patterns of carbon footprint distribution on different dates during the pandemic, but the carbon footprint distributions on selected dates all follow a power-law distribution. This study may facilitate the understanding to the impacts of UPTS on the environment during the COVID-19 pandemic, and also provide important guidance and reference for the development of carbon emission reduction strategies.",,,
JOUR,Clean energy synergy with electric vehicles: Insights into carbon footprint,"['Chen, Liang', 'Ma, Rui']",Energy Strategy Reviews,53,101394,2024,2024/05/01/,2211-467X,https://doi.org/10.1016/j.esr.2024.101394,['https://www.sciencedirect.com/science/article/pii/S2211467X24001019'],"['Carbon footprints', 'Clean energy', 'Electric vehicles', 'Sustainable development']","This study empirically examines the impact of Electric Vehicles (EVs) and clean energy adoption on carbon footprints. With growing concerns over climate change and the need to reduce greenhouse gas emissions, the transition to electric vehicles and clean energy sources has gained significant attention as potential solutions. This research investigates the relationship between the adoption of EVs and clean energy technologies and their subsequent effect on carbon footprints. The study applied the Generalised Method Moments (GMM) on the data sourced from the International Energy Agency (IEA) and the World Development Indicators (WDI) for the period 2011–2021 covering 27 countries. The findings reveal a strong correlation between the adoption of EVs and reductions in carbon footprints. It shows that a 1 % increase in renewable electricity output would result in a 0.5 % decline in carbon footprints. This implies that, as EV sales increase, the overall carbon emissions from the transportation sector decrease, primarily due to the lower emissions associated with electric vehicles compared to conventional internal combustion engine vehicles. Additionally, the study finds that the integration of clean energy sources into the electricity grid further contributes to carbon footprint reductions. The use of renewable energy in charging EVs minimizes the indirect emissions associated with electricity generation. The research concludes that the widespread adoption of EVs and clean energy sources has the potential to significantly reduce carbon footprints and mitigate the impact of climate change. However, it emphasizes the importance of continued technological advancements, increased availability of charging infrastructure, and supportive government policies to accelerate the transition towards a low-carbon transportation and energy system. Therefore, the study highlights the need for collaborative efforts among governments, industry stakeholders, and individuals to foster sustainable practices and achieve a more environmentally friendly future.",,,
JOUR,Life cycle carbon footprint accounting of an offshore wind farm in Southeast China—Simplified models and carbon benchmarks for typhoons,"['Sun, Zhen', 'You, Xianhui']",Applied Energy,355,122267,2024,2024/02/01/,0306-2619,https://doi.org/10.1016/j.apenergy.2023.122267,['https://www.sciencedirect.com/science/article/pii/S0306261923016318'],"['Offshore wind farms', 'Carbon footprint accounting', 'Typhoons', 'Simplified models', 'Carbon benchmarks']","Offshore wind farms are fast-spreading off the southeast coast of China to achieve carbon neutrality by 2060. However, unfavorable weather conditions in Southeast China (e.g. frequent typhoons and severe wind intermittency) may increase the carbon footprint of offshore wind energy. But typhoons have never been considered in carbon accounting before, which may affect the design decisions of stakeholders and research priority setting for academicians. (i) To determine the effect of typhoons on carbon footprint, a life cycle assessment was performed on a typical offshore wind farm using real data. The results demonstrate that typhoons can be the largest contributor to carbon footprint, and the maximum wind speed of typhoons is the most critical parameter to carbon footprint. (ii) To quantify the carbon emissions caused by typhoons, simplified models estimating carbon emission intensity under different maximum wind speeds of typhoons are established, using Monte Carlo method based on 51 historical typhoons. The models imply that wind turbines with Permanent Magnet Synchronous Generator (PMSG) are highly recommended in typhoon-prone area, because their carbon footprint is smaller than those with Doubly-Fed Induction Generator (DFIG). (iii) To set carbon benchmarks for typhoons, statistic analysis was conducted based on the simulated samples generated by Monte Carlo method. The carbon benchmarks of typhoons show that gearbox has the highest carbon emission intensity (mean=4.35g/kW, 95th percentile=7.00g/kW) among all components, resulting DFIG with gearbox not suitable in typhoon-areas. The site selection of offshore wind farms in Southeast China should avoid areas where the maximum wind speed of typhoons exceeds 44.5 m/s. This study emphasizes the importance of typhoons in carbon footprint accounting for offshore wind farms in Southeast China. More significantly, the proposed simplified models and carbon benchmarks of typhoons can be applied to feasibility studies in early design stage for engineers and stakeholders.",,,
JOUR,On the relationship between individual carbon literacy and carbon footprint components,"['Schleich, Joachim', 'Dütschke, Elisabeth', 'Kanberger, Elke', 'Ziegler, Andreas']",Ecological Economics,218,108100,2024,2024/04/01/,0921-8009,https://doi.org/10.1016/j.ecolecon.2023.108100,['https://www.sciencedirect.com/science/article/pii/S0921800923003634'],"['Carbon footprint', 'Carbon literacy', 'Carbon knowledge', 'Carbon engagement']","To mitigate climate change, individual greenhouse gas emissions need to decline substantially. This paper empirically explores the relationship between individual carbon footprints and carbon literacy as well as socio-economic and attitudinal factors. To operationalize carbon literacy, we distinguish between carbon knowledge and carbon engagement. Our econometric analysis uses widely representative survey data for 1000 individuals in Germany and distinguishes between components of an aggregate carbon footprint and of carbon footprints related with electricity consumption, heating, motorized individual transport, aviation, and dietary choices. We find a negative and sizeable correlation between carbon engagement and the aggregate footprint, as well as the footprints related to electricity consumption and diet. For example, a one-unit increase in our index reflecting carbon engagement corresponds to a decrease in the aggregate carbon footprint of about 4%. Furthermore, for carbon knowledge we find a negative correlation with the carbon footprint from diet. We also find significant correlations between the carbon footprints and gender, age, income, education, environmental preferences, and policy orientation, which generally exhibit the intuitively expected signs, but differ somewhat across activities. Overall, our findings support the notion that fostering carbon engagement represents a more effective strategy for reducing individuals' carbon footprints than enhancing carbon knowledge.",,,
JOUR,Introduction of a carbon footprint assessment in the oil and gas facility life extension decision-making process,"['Ferreira, Nayara', 'Dziedzic, Rebecca', 'Albuquerque, Cyro', 'de Oliveira Junior, Silvio', 'Lloyd, Shannon', 'Martins, Marcelo Ramos']",Geoenergy Science and Engineering,240,213032,2024,2024/09/01/,2949-8910,https://doi.org/10.1016/j.geoen.2024.213032,['https://www.sciencedirect.com/science/article/pii/S2949891024004020'],"['Carbon footprint', 'Life extension', 'Oil and gas facilities', 'Ageing management', 'Ageing process', 'Decision-making tool']","In large oil and gas producing countries, extraction and processing activities, including upstream activities, can represent a large share of domestic emissions. As oil fields approach their expected service life and reach depletion, energy use and GHG emissions increase per unit of produced oil, shifting operations away from their optimal point. Thus, it is paramount that oil field life extension decisions account for energy use and GHG emissions. However, many facilities are having their service life extended without considering this energy inefficiency and previous life extension decision making studies have neglected GHG emissions. Addressing this issue, this paper proposes the inclusion of a carbon footprint assessment within the evaluation of oil and gas offshore production facility life extension. The carbon footprint assessment adds an environmental lens to the evaluation of ageing, formerly evaluated according to material degradation, obsolescence and organizational issues. An eleven-stage framework is proposed to systematize the ageing related carbon footprint assessment and support life extension decision-making: (1) Objective definition, (2) Scope definition, (3) Field conditions description, (4) Scope breakdown into manageable portions, (5) Detailed data collection for each process and subsystem, (6) Input and output definition for each process and subsystem, (7) Process modelling, (8) Methodology definition for energy demand and inefficiency estimate, (9) Monitoring indicator definition, (10) Performance evaluation, and (11) Interpretation of results. The proposed framework is applied to a hypothetical case study, developed with data from a typical oil and gas offshore production platform operated in Brazil. Two LE improvement strategies were simulated, i.e. reducing the number of gas turbines, and increasing the export of natural gas. Both alter the modus operandi of the compression system and do not require additional equipment installation. These strategies resulted in a combined reduction of 922,000 tCO2 during the extended 10-year operation. This outcome demonstrates that by applying the framework opportunities for reducing energy use and GHG emissions during life extension can be identified and quantified, facilitating life extension decision-making.",,,
JOUR,From Brown to green: Exploring asymmetric nexus between green finance and carbon footprint in BRICS+6 alliance,"['Gong, Zheng', 'Gong, Liuji', 'Rasool, Zeeshan']",Borsa Istanbul Review,24,363,2024,2024/03/01/,2214-8450,https://doi.org/10.1016/j.bir.2024.01.010,['https://www.sciencedirect.com/science/article/pii/S2214845024000176'],"['Green finance', 'Carbon footprint', 'Quantile estimation']","Green finance is the beacon of hope in a world striving for sustainability, where financial growth and environmental responsibility go hand in hand. The BRICS, containing five emerging economies (Brazil, Russia, India, China, and South Africa), recently announced Iran, Egypt, Argentina, Ethiopia, Saudi Arabia, and the UAE as six potential new members. This expansion offers promising prospects for advancing environmental sustainability through green finance, which can be an excellent tool. In this respect, this research examines how green finance affects the carbon footprint in BRICS+6 economies. Earlier studies used panel data techniques to probe the association between these variables but overlooked that certain countries still needed to possess such a link separately. Hence, this research adopts the Quantile-on-Quantile approach, which provides a holistic universal view and customized findings for each country. The outcomes display that green finance improves environmental quality by diminishing carbon footprint at distinct quantiles of data distribution.",2,375,
JOUR,Optimizing roads for sustainability: Inverted pavement design with life cycle cost analysis and carbon footprint estimation,"['Siva Rama Krishna, Uppuluri', 'Badiger, Mohan', 'Chaudhary, Yatin', 'Vijaya Gowri, Turumella', 'Jahnavi Devi, Esamsetti']",International Journal of Transportation Science and Technology,,,2024,2024/04/24/,2046-0430,https://doi.org/10.1016/j.ijtst.2024.04.008,['https://www.sciencedirect.com/science/article/pii/S2046043024000431'],"['Inverted pavement', 'Response surface methodology (RSM)', 'Finite element modelling (FEM)', 'Life cycle cost analysis (LCCA)', 'Life cycle Assessment (LCA)']","Inverted pavements have proven performance across the world and there is a need to optimize the layer thickness and material properties of the pavement addressing the critical failures in the Mechanistic-Empirical Pavement Design. The present study is made on bituminous concrete pavement with traffic up to 50 MSA and studying the critical factors affecting the pavement performance. The Minitab’s Response Surface Methodology − Box Behnken method was used for the Design of Experiments which includes critical factors and responses obtained from ANSYS finite element modeling of the inverted pavement. The critical factors and responses are normally distributed and indicate a linear relationship with the least error. The composite desirability for minimum stress and strains in the pavement layers was found to be 0.89. The optimized pavement thickness and layer material properties were validated with two pavement field cross sections of different Indian National Highways and it is observed that the optimized cross-section is safe. Further, this research paper carried out Life Cycle Cost Analysis and Life Cycle Assessment of inverted pavement with optimized pavement cross-section obtained including the carbon footprint during the vehicle operation phase. The study demonstrated the benefits of inverted pavement with reduced costs and carbon emissions. Thus, this approach paves the way towards sustainable and long-lasting pavements.",,,
JOUR,Discussion on key issues of carbon footprint accounting for wool products,"['Li, Xue', 'Li, Xin', 'Sun, Lirong', 'Zhang, Ying', 'Li, Qizheng', 'Zhu, Lisha', 'Wang, Laili']",Journal of Cleaner Production,445,141336,2024,2024/03/15/,0959-6526,https://doi.org/10.1016/j.jclepro.2024.141336,['https://www.sciencedirect.com/science/article/pii/S0959652624007832'],"['Wool product', 'Carbon footprint', 'System boundary', 'Allocation method', 'Rumination and excreta']","The whole life cycle of wool products is long and involves many inputs and outputs. There are many issues that need to be discussed and solved in the carbon footprint accounting of wool products. In this paper, key issues such as system boundary, calculation method, accounting data, and allocation method are analyzed and discussed to accurately account for the carbon footprint of wool products. The results show that when accounting for the partial carbon footprint of wool products, the system boundary endpoint of the “gate” is more operable. The model estimation method used to calculate the carbon footprint of sheep rumination needs further improvement in feed intake prediction and methane conversion coefficient. Clarifying the carbon sequestration and carbon transfer mechanism and accurately tracing the source of carbon elements in wool can quantify the carbon sequestration effect of wool products. The data should be prioritized in the order of site-specific data, primary data, and secondary data. The protein mass allocation method can better allocate wool and co-products in the raw material production stage. A full and systematic analysis of the key issues of the carbon footprint accounting for wool products can ensure the effectiveness and comparability of the carbon footprint accounting results and contribute to the green and low-carbon development of the wool industry.",,,
