type_of_reference,primary_title,authors,journal_name,volume,start_page,year,date,issn,doi,urls,keywords,abstract,end_page,number,secondary_title
JOUR,Exploring the spatiotemporal heterogeneity and influencing factors of agricultural carbon footprint and carbon footprint intensity: Embodying carbon sink effect,"['Cui, Yu', 'Khan, Sufyan Ullah', 'Sauer, Johannes', 'Zhao, Minjuan']",Science of The Total Environment,846,157507,2022,2022/11/10/,0048-9697,https://doi.org/10.1016/j.scitotenv.2022.157507,['https://www.sciencedirect.com/science/article/pii/S0048969722046058'],"['Carbon footprint', 'Carbon footprint intensity', 'Spatiotemporal heterogeneity', 'Influencing factors', 'Carbon sink']","Due to the combined effects of carbon emission and carbon sink, agriculture is acknowledged as an essential contributor to achieve the Chinese government's carbon neutrality goal of 2060, and carbon footprint (CF) and carbon footprint intensity are substantial indicators to reveal the carbon emission level. For these reasons, the Theil index technique and extended STIRPAT model were employed to evaluate their spatiotemporal heterogeneity and influencing factors using panel data from 31 provinces for the period 1997–2019. The findings revealed that the CF showed an increasing trend with an annual growth rate of 24.6 %. The carbon footprint intensity (CFI) indicated an evident spatiotemporal heterogeneity and transferred over time, with an average growth rate of 19.82 %. The CFI Theil index and its contribution rate both confirmed that intra-regional difference is the main source of the overall difference, among which, the CFI Theil index displayed the distribution feature of “western (11.50 %) > central (11.12 %) > eastern (10.56 %) > northeast (6.61 %). The contribution rate of CFI illustrated the spatial pattern of “eastern (33.74 %) > central (21.07 %) > western (19.87 %) > northeast (5.24 %). Furthermore, the influencing effects of GDP per capita, planting structure, population density and urbanization level on CF and CFI also demonstrate evident spatiotemporal heterogeneity.",,,
JOUR,Evaluating carbon footprint embodied in Japanese food consumption based on global supply chain,"['Tantiwatthanaphanich, Thanapan', 'Shao, Xuan', 'Huang, Liqiao', 'Yoshida, Yoshikuni', 'Long, Yin']",Structural Change and Economic Dynamics,63,56,2022,2022/12/01/,0954-349X,https://doi.org/10.1016/j.strueco.2022.09.001,['https://www.sciencedirect.com/science/article/pii/S0954349X22001278'],"['Carbon footprint', 'Food consumption', 'Input-output table', 'Japan', 'Transport']","Based on the trade boom in the globalization wave, nowadays, food products travel long distances from producers to consumers. However, the embodied environmental impact associated with food consumption is still under discussion, which demands an in-depth analysis of its upstream environmental impact. Therefore, in this study, we consider Japan as a case study and apply an environmentally extended input-output table to tackle its embodied carbon footprint across sectors and regions. To further investigate the contribution of food transport, we extracted transport-related carbon footprints embodied in Japanese food consumption according to six transport types. The results indicate that 34% of the carbon footprints from Japan's food consumption were induced overseas, mostly being leaked in some Asian and Pacific countries (4536 kilo tonCO2eq in China and 4758 kilo tonCO2eq in other Asian and Pacific countries’ group) and the United States (4444 kilo tonCO2eq). The implications of this study reveal the key role of food consumption in Japan's future decarbonization and carbon neutrality, and provide potential mitigation measures to reduce transport emissions from the perspective of food supply chain.",65,,
JOUR,Pioneering historical LCA - A perspective on the development of personal carbon footprint 1860–2020 in Denmark,"['Bruhn, Simon', 'Gislason, Styrmir', 'Røgild, Trine', 'Andreasen, Matilde', 'Ditlevsen, Frederik', 'Larsen, Julie', 'Sønderholm, Nana', 'Fossat, Sissel', 'Birkved, Morten']",Sustainable Production and Consumption,46,582,2024,2024/05/01/,2352-5509,https://doi.org/10.1016/j.spc.2024.03.014,['https://www.sciencedirect.com/science/article/pii/S2352550924000757'],"['History', 'Retrospective', 'Life Cycle Assessment', 'Consumption-based', 'Carbon footprint']","Mitigating climate change by reducing anthropogenic greenhouse gas emissions is considered an urgent challenge for society. In this context, different philosophies exist. A classic debate, referred to as “boomsters vs. doomsters”, asks whether humanity's drive for technological innovations will mitigate climate change, or whether it is justifiable to compromise our living standards, affluence, and consumption patterns. A Danish research project has elucidated this topic through cross-collaboration between historians and engineers by quantifying the personal consumption-based carbon footprint (CF) of Danish citizens, taking into account the consumption segments of food, transport, housing, and furniture. Quantification is conducted through life-cycle assessments (LCA) of five decadal timesteps during the period 1860–2020. As only one other study conducting historical (retrospective) LCA with an extensive time horizon was identified in the scientific literature, our own study provides novel insights by exploring possible approaches in this field. Historical LCA has many similarities with prospective (future) LCA, providing inspiration to the approach. The main challenge of the study is to adjust both foreground and background systems in the inventory modelling phase. Data is largely based on national statistics, books, museum case studies, expert testimonials, and proxies such as using the steam turbine as an indicator of improvements to technological efficiency over time. The results show a slightly declining carbon footprint in the period 1860–1930, from 7.7 to 6.6 t CO2-eq per capita annually. Unsurprisingly the footprint peak is not found until the 1970s, at 11 t, reducing to 5.4 t in the 2010s. The residential energy consumption segment contributes half of this CF, followed by transportation by road and rail. Discussion of the results shows that whether technology can mitigate the impact from the increase in affluence depends on the specific consumption segment. For housing combined with residential energy, the results show that technology can mitigate increases in CF, despite the comforts of home having only increased over time. For the transportation segment, however, the past century has seen an eightfold increase in CF due to the pronounced evolution of personal modes of transportation. The findings suggests that the “boomsters vs. doomsters” debate is not so black and white after all. We further suggest that historical LCA, in tandem with prospective LCA, can provide valuable insights for decision support to facilitate a green transition and hence a green future.",599,,
JOUR,"Analyze the effect of energy efficiency, natural resources, and the digital economy on ecological footprint in OCED countries: The mediating role of renewable energy","['Zhao, Dengfeng', 'Lin, Jingting', 'Bashir, Muhammad Adnan']",Resources Policy,95,105198,2024,2024/08/01/,0301-4207,https://doi.org/10.1016/j.resourpol.2024.105198,['https://www.sciencedirect.com/science/article/pii/S0301420724005658'],"['Ecological footprint', 'Energy efficiency', 'Natural resources', 'The digital economy', 'MMQR']","Considering the urgent target of carbon neutrality and environmental sustainability, this paper analyzes the nexus of energy efficiency, natural resources, and the digital economy on ecological footprint in OECD countries from 2002 to 2020. We apply the Method of Moments Quantile Regression (MMQR) to evaluate the long-run relationship of variables and check the mediating effect of renewable energy between the digital economy and ecological footprint. Through a series of empirical analyses, the primary results are as follows. First, it has been discovered that energy efficiency and natural resources contribute to decreasing ecological footprint. Second, the digital economy exerts a detrimental impact on the lowering of the ecological footprint. Third, the mediating outcome suggests that the digital economy cannot promote an ecological footprint decrease with the development of renewable energy. Based on the findings, we also recommend some ideas for OECD countries’ economy, energy, and environmental improvements.",,,
JOUR,A carbon footprint analysis of the redevelopment of former residential areas,"['Luo, Xiaoyu', 'Ren, Mengyu', 'Cao, Xingyu', 'Ge, Jian']",Journal of Urban Management,,,2024,2024/06/05/,2226-5856,https://doi.org/10.1016/j.jum.2024.05.005,['https://www.sciencedirect.com/science/article/pii/S2226585624000645'],"['Carbon emissions accounting', 'Residential transformation', 'Carbon reduction effect', 'Recommended technologies']","The negative impacts of greenhouse gas emissions, particularly CO2 emissions, have garnered widespread attention. Various old residential areas in China, built more than 20 years ago, have been undergoing urgent transformation to improve citizens’ quality of life, which may significantly reduce carbon emissions. This study developed a carbon emissions accounting framework for residential areas to account the emissions impact of residential transformation. The framework addressed the inventory classifications of landscape greening, residential buildings, water resources, solid waste, infrastructure and transportation. The consumption-based calculation model and bottom-up data collection methods were used. The results show that the transformation of two old residential areas achieved considerable carbon reductions of 17.16% and 33.37% in South and North China, respectively. The macro guidance of local policies, specifically those regarding local urban infrastructure construction, significantly aided the carbon emissions reductions. Based on the calculation results, a list of recommended technologies was proposed to reduce carbon emissions, and four measures (adding greening, improving the garbage recovery rate, separating rain and sewage and transforming envelope structures for energy savings in northern China) were recommended to promote low carbon development in residential areas.",,,
JOUR,Carbon footprint of the analytical laboratory and the three-dimensional approach to its reduction,"['Nowak, Paweł Mateusz', 'Bis, Alicja', 'Rusin, Marcelina', 'Woźniakiewicz, Michał']",Green Analytical Chemistry,4,100051,2023,2023/03/01/,2772-5774,https://doi.org/10.1016/j.greeac.2023.100051,['https://www.sciencedirect.com/science/article/pii/S2772577423000034'],"['Carbon footprint', 'Carbon dioxide emission', 'Electricity', 'Separation', 'Green analytical chemistry', 'Renewable energy sources', 'Sustainability']","What is the carbon footprint of a common HPLC instrument per one measurement? How much will it increase when we use a mass detector instead of a spectrophotometer? What is the carbon footprint of an average laboratory in comparison to a household, petrol and electric cars, and group of people breathing simultaneously? How much do these results depend on the specifics of energy production in a given country? Is it possible to ensure the carbon neutrality of an advanced analytical method by using dedicated solar and wind farms? How large infrastructure is needed to supply the entire laboratory with green energy? What are the most reasonable activities which should be realized in the near future to reduce the environmental impact of analytical laboratories? This article attempts to answer these questions. The predictions are based on the simple measurements of the electricity consumption for selected laboratory instruments (separation techniques) and the commonly available statistical reports. The presented outcomes allow to imagine the magnitude of laboratory-related emissions. A future perspective is shown and discussed, embracing the three-dimensional space of possible efforts and the inclusion of energy consumption and associated carbon footprint as a mandatory validation criterion of new analytical methods.",,,
JOUR,Spatiotemporal analysis of the future carbon footprint of solar electricity in the United States by a dynamic life cycle assessment,"['Lu, Jiaqi', 'Tang, Jing', 'Shan, Rui', 'Li, Guanghui', 'Rao, Pinhua', 'Zhang, Nan']",iScience,26,106188,2023,2023/03/17/,2589-0042,https://doi.org/10.1016/j.isci.2023.106188,['https://www.sciencedirect.com/science/article/pii/S2589004223002651'],"['energy sustainability', 'environmental assessment', 'global carbon cycle', 'risk assessment']","Summary Solar photovoltaics (PVs) installation would increase 20-fold by 2050; however, considerable greenhouse gas (GHG) emissions are generated during the cradle-to-gate production, with spatiotemporal variances depending on the grid emission. Thus, a dynamic life cycle assessment (LCA) model was developed to assess the accumulated PV panels with a heterogeneous carbon footprint if manufactured and installed in the United States. The state-level carbon footprint of solar electricity (CFEPV-avg) from 2022 to 2050 was estimated using several cradle-to-gate production scenarios to account for emissions stemming from electricity generated from solar PVs. The CFEPV-avg (min 0.032, max 0.051, weighted avg. 0.040 kg CO2-eq/kWh) in 2050 will be significantly lower than that of the comparison benchmark (min 0.047, max 0.068, weighted avg. 0.056 kg CO2-eq/kWh). The proposed dynamic LCA framework is promising for planning solar PV supply chains and, ultimately, the supply chain of an entire carbon-neutral energy system to maximize the environmental benefits.",,3,
JOUR,"High resolution modeling and analysis of cryptocurrency mining’s impact on power grids: Carbon footprint, reliability, and electricity price","['Menati, Ali', 'Zheng, Xiangtian', 'Lee, Kiyeob', 'Shi, Ranyu', 'Du, Pengwei', 'Singh, Chanan', 'Xie, Le']",Advances in Applied Energy,10,100136,2023,2023/06/01/,2666-7924,https://doi.org/10.1016/j.adapen.2023.100136,['https://www.sciencedirect.com/science/article/pii/S266679242300015X'],"['Cryptocurrency mining', 'Carbon footprint', 'Reliability', 'Electricity market', 'Demand flexibility']","Blockchain technologies are considered one of the most disruptive innovations of the last decade, enabling secure decentralized trust-building. However, in recent years, with the rapid increase in the energy consumption of blockchain-based computations for cryptocurrency mining, there have been growing concerns about their sustainable operation in electric grids. This paper investigates the tri-factor impact of such large loads on carbon footprint, grid reliability, and electricity market price in the Texas grid. We release open-source high-resolution data to enable high-resolution modeling of influencing factors such as location and flexibility. We reveal that the per-megawatt-hour carbon footprint of cryptocurrency mining loads across locations can vary by as much as 50% of the crude system average estimate. We show that the flexibility of mining loads can significantly mitigate power shortages and market disruptions that can result from the deployment of mining loads. These findings suggest policymakers to facilitate the participation of large mining facilities in wholesale markets and require them to provide mandatory demand response.",,,
JOUR,Carbon and nitrogen footprints of apple orchards in China's Loess Plateau under different fertilization regimes,"['Han, Jiale', 'Jin, Xiangle', 'Huang, Shiwei', 'Zhu, Xinyu', 'Liu, Jiaojiao', 'Chen, Jiayong', 'Zhang, Afeng', 'Wang, Xudong', 'Tong, Yanan', 'Hussain, Qaiser', 'Feng, Hao']",Journal of Cleaner Production,413,137546,2023,2023/08/10/,0959-6526,https://doi.org/10.1016/j.jclepro.2023.137546,['https://www.sciencedirect.com/science/article/pii/S0959652623017043'],"['Apple orchard', 'Fertilization strategies', 'Life cycle assessment', 'Carbon footprint', 'Nitrogen footprint']","To comprehensively understand the effects of different fertilization regimes on carbon sequestration and greenhouse gas (GHG) emissions in apple orchard production systems, we assessed the carbon (C) emissions and nitrogen (N) losses along with the life cycle assessment (LCA) to quantify the carbon footprint (CF) and nitrogen footprint (NF) under different fertilization regimes in the Loess Plateau, China. The field experiment was comprising four N fertilizer regimes such as i) single inorganic fertilizer with 800 kg N ha−1 (N800); ii) single inorganic fertilizer with 400 kg N ha−1 (N400); iii) inorganic and organic fertilizers each with 200 kg N ha−1 (N200+O200) as well as without N fertilizer treatment as control (CK). Data regarding the soil organic carbon (SOC), nitrate N (NO3−–N), ammonium N (NH4+–N) and emissions of carbon oxide (CO2) and nitrous oxide (N2O) were measured. Organic fertilizer substitution (OFS) boosted SOC while decreased NO3−–N and NH4+–N concentrations. The cumulative CO2 emissions and emission factors (EFs) of N2O did not change significantly amongst fertilization strategies; however, as compared to N800, N400 and N200+O200 significantly reduced N2O emissions by 41.8%–45.7% and 43.5%–46.6% respectively. The NF was dominated by N residues (73.0%–97.4%) and organic fertilizer (24.37%), with a significant difference detected between N400 and N200+N200 treatments. Meanwhile, compared to inorganic plots, OFS significantly reduced CF (345.9%–368.0%), which was influenced by SOC sequestration. The CF from N plots in apple orchard was dominated by fertilizer (21.7%–39.6%), pesticides (4.3%–6.2%) and N2O (5.6%–11.8%). In addition, our results were further supported by a meta-analysis with 22 published studies, which showed that organic fertilizer and chemical fertilizer + organic fertilizer significantly reduced regional CF by 388.8% and 78.2%, respectively. However, regional NF ranged from 441.4 kg N-eq ha−1 to 453.9 kg N-eq ha−1, with no significant difference between fertilizer strategies. Therefore, reducing the amount of N fertilizer and partial OFS is a viable long-term strategy for mitigating climate change through C sequestration, reduction of N residues, and GHG mitigation, which could be beneficial to low C apple production in the Loess Plateau, China.",,,
JOUR,Carbon footprint of hydrogen-powered inland shipping: Impacts and hotspots,"['Evers, V.H.M.', 'Kirkels, A.F.', 'Godjevac, M.']",Renewable and Sustainable Energy Reviews,185,113629,2023,2023/10/01/,1364-0321,https://doi.org/10.1016/j.rser.2023.113629,['https://www.sciencedirect.com/science/article/pii/S1364032123004860'],"['LCA', 'Carbon footprint', 'Hot spot analysis', 'Hydrogen', 'Fuel', 'Fuel cell', 'Ship', 'Vessel', 'Drivetrain', 'Meta-analysis']","The shipping sector is facing increasing pressure to implement clean fuels and drivetrains. Especially hydrogen-fuel cell drivetrains seem attractive. Although several studies have been conducted to assess the carbon footprint of hydrogen and its application in ships, their results remain hard to interpret and compare. Namely, it is necessary to include a variety of drivetrain solutions, and different studies are based on various assumptions and are expressed in other units. This paper addresses this problem by offering a three-step meta-review of life cycle assessment studies. First, a literature review was conducted. Second, results from the literature were harmonized to make the different analyses comparable, serving cross-examination. The entire life cycle of both the fuels and drivetrains were included. The results showed that the dominant impact was fuel use and related fuel production. And finally, life-cycle hot spots have been identified by looking at the effect of specific configurations in more detail. Hydrogen production by electrolysis powered by wind has the most negligible impact. For this ultra-low carbon pathway, the modes of hydrogen transport and the use of specific materials and components become relevant.",,,
