type_of_reference,primary_title,authors,journal_name,volume,start_page,year,date,issn,doi,urls,keywords,abstract,number,end_page
JOUR,Carbon footprint of wood and plastic as packaging materials – An Australian case of pallets,"['Weththasinghe, K.K.', 'Akash, A.', 'Harding, T.', 'Subhani, M.', 'Wijayasundara, M.']",Journal of Cleaner Production,363,132446,2022,2022/08/20/,0959-6526,https://doi.org/10.1016/j.jclepro.2022.132446,['https://www.sciencedirect.com/science/article/pii/S0959652622020479'],"['Environmental footprint', 'Pallets', 'Sensitivity analysis', 'Timber', 'Uncertainty analysis']","Pallets play a critical role in supply chains across a variety of industries in the world, since they are used for holding items during transportation and in transit. Pallets can be constructed using different materials and assembled in various designs to satisfy their functional requirements. Currently, material selection is predominantly based on material performance and cost analysis. Nonetheless, it is important to evaluate the suitability of the material in terms of an environmental footprint to reduce emissions generation. This study performed an environmental footprint assessment for the two most common packaging materials - wood and plastic, complying with GHG Protocol standards, in the Australian context. A quantitative analysis was carried out based on empirical data obtained from an Australian wooden pallet manufacturer (WPM) and published data for plastic pallets. Results demonstrated the carbon footprint of the plastic pallets (216 kgCO2-e) to complete 100 trips is 1.5 times higher than the wooden pallets (144 kgCO2-e), from a cradle-to-grave perspective. Uncertainty and sensitivity analysis was also conducted to identify sensitive variables and assess the accuracy of the results. Findings of this study can assist industry practitioners, academia, and policy enablers in selecting suitable materials to achieve emissions reduction.",,
JOUR,The carbon footprint of waste streams in a UK hospital,"['Rizan, Chantelle', 'Bhutta, Mahmood F.', 'Reed, Malcom', 'Lillywhite, Rob']",Journal of Cleaner Production,286,125446,2021,2021/03/01/,0959-6526,https://doi.org/10.1016/j.jclepro.2020.125446,['https://www.sciencedirect.com/science/article/pii/S0959652620354925'],"['Carbon footprint', 'Healthcare', 'Waste streams', 'Decontamination', 'Incineration', 'Recycling']","A number of studies have estimated the carbon footprint of healthcare provision in a variety of contexts, but the emission factors used to account for associated waste vary widely and are not healthcare specific. The aim of this study was to estimate and compare the carbon footprint of hospital waste streams. A process-based carbon footprint of hospital waste was estimated in accordance with the Greenhouse Gas Accounting Sector Guidance for Pharmaceutical Products and Medical Devices, using activity data based on waste streams found at three hospitals in one UK National Health Service organisation. This study estimates that the carbon footprint per t of hospital waste was lowest when it is recycled (21–65 kg CO2e), followed by low temperature incineration with energy from waste (172–249 kg CO2e). When the waste was additionally decontaminated using an autoclave prior to low temperature incineration with energy from waste, the carbon footprint was increased to 569 kg CO2e. The highest carbon footprint was associated with the disposal of waste via high temperature incineration (1074 kg CO2e/ t). NHS data show that the financial cost of waste streams mirror that of the carbon footprint. In conclusion, it is possible to use the carbon footprint of hospital waste streams to derive emission factors for specific waste disposal options. This may inform the optimal processing of healthcare waste in the future.",,
JOUR,Low-GHG culturally acceptable diets to reduce individual carbon footprint by 20%,"['Rancilio, Giuliano', 'Gibin, Davide', 'Blaco, Alessandro', 'Casagrandi, Renato']",Journal of Cleaner Production,338,130623,2022,2022/03/01/,0959-6526,https://doi.org/10.1016/j.jclepro.2022.130623,['https://www.sciencedirect.com/science/article/pii/S0959652622002645'],"['Sustainable diets', 'Carbon footprint', 'LCA', 'Food', 'Vegetarian', 'Pescatarian']","For mitigating climate change and respect targets, humanity must decrease emissions as soon as possible: the later is the action, the harsher will be the trajectory of the mitigating pathway. Structural actions need time to become operational. Therefore, individual actions shall also enter into play, focusing on what has a high impact and whose change is at hand: food-related emissions build up 30% of total anthropogenic impacts and eating is an everyday activity. In this study, regional culturally acceptable low-carbon diets are proposed for China, Europe and US. They are developed considering the requirements of energy and nutrients supply, they respect regionality of food consumption – e.g., they include only foods that are diffused in the area – and they are aimed to limit the individual effort to be adopted – e.g., they include all the food categories, meat included. They are low-carbon since food items are selected on the basis of their lifecycle carbon footprint (CF). Eventually, the regionality constraints are relaxed to develop a World's low-carbon diet. For every area, we found a diet that halves the food-related CF. Instead, our World's low-carbon diet reduces the average food-related CF by 75%. Therefore, the overall individual CF would be reduced by a fifth in case of its adoption.",,
JOUR,Study of the tools used for early-stage carbon footprint in building design,"['Tsay, Yaw-Shyan', 'Yeh, Yu-Chun', 'Jheng, Huei-Yu']","e-Prime - Advances in Electrical Engineering, Electronics and Energy",4,100128,2023,2023/06/01/,2772-6711,https://doi.org/10.1016/j.prime.2023.100128,['https://www.sciencedirect.com/science/article/pii/S2772671123000232'],"['Parameter', 'Early architectural design stage', 'CO', 'LCA']","The purpose of this study is to construct a digital tool and design process for building a carbon footprint calculation to change the current status of Taiwan's carbon footprint calculation in post-use assessment, and to incorporate both carbon emissions and energy consumption in the environmental impact assessment into the initial considerations of the architectural design. Through the connection of carbon emission calculation tools and optimization tools, the advantages and disadvantages of multiple schemes in relation to carbon emissions and energy consumption can be compared simultaneously, thereby assisting designers to achieve faster results when making design decisions. In addition to the building's area, orientation, and height, various schemes could also further facilitate architectural design plans with lower carbon emissions by adjusting factors such as the external shading depth and the window-to-wall ratio by calculating the building dimensions to pursue the maximum percentage of the visual field (maximum window area), thereby reducing carbon emissions. This study is expected to meet the needs of users by simplifying the calculation tools and operation interface required for carbon emission calculations, visualizing the calculation results, and enabling a comparison of multiple design schemes. In addition, it provides recommended projects that can be reviewed in the early decision-making stage of the architectural design process, and provides designers and planners with approximate building carbon emission calculations for projects. Furthermore, to facilitate a calculation process with the best view, the scheme simulation is optimized under the existing design conditions, and the optimal solution (Pareto optimal solution) is obtained following calculation classification and analysis. The simulated data can be listed for design reference, whereby users can make design decisions based on the design conditions.",,
JOUR,Carbon footprint of maize planting under intensive subsistence cultivation in South Korea,"['LiLi, ZhirunZhirun', 'YangYang, YinshengYinsheng', 'SoSo, NamhoNamho', 'LeeLee, Jong-InJong-In']",International Journal of Climate Change Strategies and Management,15,301,2023,2023/04/07/,1756-8692,https://doi.org/10.1108/IJCCSM-12-2021-0141,['https://www.sciencedirect.com/science/article/pii/S1756869223000224'],"['Carbon footprint', 'Maize planting', 'Intensive subsistence cultivation', 'Life cycle assessment', 'Greenhouse gas emissions', 'Sustainable development']","Purpose During the planting process, agricultural products produce large amounts of greenhouse gas (GHG) emissions. This has placed tremendous pressure on sustainable global development. Many countries and regions in the world have adopted intensive subsistence cultivation methods when planting maize; however, limited studies exist on these methods. The main purpose of this research is to show the impact of climate change on maize yields and carbon footprint (CF) in South Korea over 10 years, find the proper operating method and promote the advanced combination of inputs for the sustainable development of maize farmers. Design/methodology/approach This study used survey data from the South Korea Rural Development Administration of 2010, 2014 and 2019 to estimate the CF of maize planting under intensive subsistence cultivation. Life-cycle assessment was used to determine the CF. Farmers were grouped according to significant differences in yield and GHG emissions. Linear regression was used to measure the dependence of the main contributors on the CF production and carbon efficiency. Findings In South Korean maize planting, N in chemical fertiliser was the most significant contributor to the CF and organic fertiliser was the most significant input. The use of chemical and organic fertilisers significantly affects the production of the CF and carbon efficiency. Households in the high-yield and low-GHG emission groups are more sustainable because they generate the least GHG when producing and earning through maize cultivation. Globally, maize production in South Korea has a relatively low CF and maize production produces fewer GHG. Originality/value This study provides information for policymakers to determine key operational options for reducing GHG emissions using intensive subsistence cultivation of maize production in South Korea and other countries.",3,321
JOUR,"Effect of substituting grass-clover silage with maize silage for dairy cows on nutrient digestibility, rumen metabolism, enteric methane emission and total carbon footprint","['Brask-Pedersen, D.N.', 'Lamminen, M.', 'Mogensen, L.', 'Hellwing, A.L.F.', 'Johansen, M.', 'Lund, P.', 'Larsen, M.', 'Weisbjerg, M.R.', 'Børsting, C.F.']",Livestock Science,274,105273,2023,2023/08/01/,1871-1413,https://doi.org/10.1016/j.livsci.2023.105273,['https://www.sciencedirect.com/science/article/pii/S1871141323001191'],"['Carbon footprint', 'Maize silage', 'Grass-clover silage', 'Forage', 'Enteric methane', 'Life cycle assessment (LCA)']","The aim of this experiment was to determine the optimal ratio between maize silage and grass-clover silage in lactating dairy cow diets. The evaluation was based on nutrient digestibility, rumen metabolism and total carbon footprint (CF). Carbon footprint included enteric methane emission and CF from feed production, transportation, processing, and C sequestration in the soil, based on a Life Cycle Assessment (LCA) approach. Four diets varying in proportions of grass-clover silage and maize silage (100:0, 67:33, 33:67, and 0:100 on dry matter (DM) basis, respectively) were fed ad libitum to 4 lactating Holstein cows (a fifth cow was involved later in the study) fitted with ruminal, duodenal, and ileal canulae in a 4 × 4 Latin square design. Nutrient digestibility was measured using chromium oxide and titanium oxide as flow markers, and methane and CO2 emissions were measured in open-circuit respiration chambers on 5 consecutive days for each cow in each period. Data were analyzed with treatment and period as fixed effects and cow as random effect. DM intake (DMI) increased linearly (P = 0.01) with increased proportion of maize silage in the feed ration. Under the conditions in the present study, diets had only minor effects on digestibility of nutrients and there was no influence on rumen pH. Total VFA concentration decreased linearly with increased level of maize silage, but there were only minor effects on molar proportions of VFAs in the rumen. However, there was a linear increase in duodenal flow of microbial DM with increasing level of maize silage. The cows produced 30.7, 29.4. 28.4, and 26.2 L of methane/kg of DMI on diets 100:0, 66:33, 33:66, and 0:100, respectively (P = 0.02 for linear effect), which is equivalent to a 15% decrease, when all grass-clover silage was replaced by maize silage. Despite the significant reduction in enteric methane emission with increased proportion of maize silage, only a 4% decrease in total CF per kg DMI was found, when including CF from feed production, transportation, processing, manure, energy use and C sequestration in the soil, when using a LCA approach. If direct Land Use Change (LUC) or indirect LUC was included in estimation of CF, the reduction in CF when replacing all grass-clover silage was also 4–6%. However, the total CF was highly dependent on assumptions related to yield of grass-clover and maize.",,
JOUR,Magnitudes of households’ carbon footprint in Iskandar Malaysia: Policy implications for sustainable development,"['Zen, Irina Safitri', 'Al-Amin, Abul Quasem', 'Alam, Md.Mahmudul', 'Doberstein, Brent']",Journal of Cleaner Production,315,128042,2021,2021/09/15/,0959-6526,https://doi.org/10.1016/j.jclepro.2021.128042,['https://www.sciencedirect.com/science/article/pii/S0959652621022605'],"['Carbon footprint', 'Households', 'Energy', 'Lifestyle', 'Carbon emissions']","The carbon footprint of households is a significant contribution to global greenhouse gas emissions, accounting for 24% of total emissions. As a result, it is critical to quantify a household's carbon footprint in order to reduce it over time. One of the best ways to measure carbon emitted from various sectors of the economy, including household daily activities, is to calculate a country's carbon footprint (CF). This study statistically examined the magnitude of households' carbon footprints and their relationships with household daily activities and certain socio-economic demographic variables in Malaysia. Results revealed that the average household carbon footprint amounted to 11.76 t-CO2. The average also showed that the primary carbon footprint, 7.02 t-CO2 or 59.69% was higher compared to the secondary carbon footprint which was 4.73 t- CO2 or 40.22% and assessment revealed significant differences among household types. The largest carbon footprint was evident in a medium-high cost urban area, estimated at 20.14 t-CO2, while the carbon footprint found in a rural area was 9.58 t-CO2. In the latter, the primary carbon footprint was almost double the figure of 5.84 t-CO2 (61%) than the secondary carbon footprint of 3.73 t-CO2 (39%). The study reveals a higher carbon footprint in urban areas compared to rural ones depicting the effects of urbanisation and urban sprawl on household lifestyles and carbon footprints. Despite some limitations, the findings of this study will help policymakers design and implement stronger policies that enforce low-carbon activities and energy-saving goods and services in order to reduce urban Malaysia's carbon footprint dramatically.",,
JOUR,The integrated influence of energy security risk and green innovation on the material footprint: An EKC analysis based on fossil material flows,"['Pata, Ugur Korkut', 'Karlilar, Selin']",Journal of Cleaner Production,435,140469,2024,2024/01/05/,0959-6526,https://doi.org/10.1016/j.jclepro.2023.140469,['https://www.sciencedirect.com/science/article/pii/S0959652623046279'],"['EKC', 'Energy security risk', 'Fossil material flow', 'Material footprint. sustainable development']","The OECD community consumes excessive amounts of raw materials and materials, which leads to pollution and increases the material footprint. The material footprint is directly linked to the Sustainable Development Goals (SDGs)-8 and 12. The main reason for the material footprint is the usage of fossil fuels, and the dependence of OECD countries on fossil fuels continues to this day. By expanding renewable energy utilization due to rising energy security risk, a community can take steps to improve ecological quality and reduce its material footprint. In this context, the paper focuses to examine the impact of energy security, green innovation, economic policy stringency and income on the fossil fuel material footprint for 24 OECD countries over the period 1995–2018. To this end, the paper uses the Augmented Mean Group (AMG) method and novel Half Panel Jackknife (HPJ) causality and estimation approach. The study adds value to existing knowledge by empirically testing the determinants of fossil fuel material footprint for OECD countries for the first time using the novel HPJ approach. The results of the AMG show that increasing energy security risk index reduces the material footprint, while green innovation and economic policy stringency have no impact on environmental degradation. The environmental Kuznets curve (EKC) in the form of an inverted U and an inverted N are valid for OECD countries. The HPJ approach also illustrates that there is a causality from green innovation and energy security risk to material footprint, and innovation and risk are support footprint reduction. Based on these results, the study recommends that OECD policymakers pay attention to ensuring energy security to reduce the material footprint by expanding renewable resources and allocate more economic resources to green innovations with higher returns, considering the validity of the EKC.",,
JOUR,Determinants of ecological footprint in European countries: Fresh insight from Bayesian model averaging for panel data analysis,"['Guliyev, Hasraddin']",Science of The Total Environment,912,169455,2024,2024/02/20/,0048-9697,https://doi.org/10.1016/j.scitotenv.2023.169455,['https://www.sciencedirect.com/science/article/pii/S0048969723080853'],"['Ecological footprint', 'Bayesian model averaging', 'Panel data analysis', 'Panel cointegration analysis']","This study examines the determinants of the ecological footprint of production in European countries from 1992 to 2020. Using partial and semipartial correlation analyses and Bayesian Model Averaging (BMA) approach for the first time, the research identifies key variables affecting ecological footprint. Using Bayesian methods, posterior inclusion probabilities (PIPs) were calculated for each variable's coefficient estimates, revealing their relative importance. Biocapacity, energy consumption, industrialization, financial development, life expectancy, and globalization displayed notably high PIPs, indicating their strong influence on the ecological footprint. In addition, the study employs cointegration tests to examine the long-run relationship between ecological footprint and explanatory variables. The results indicate significant cointegration between these variables across panels, supported by various test statistics. In the Weighted Pooled DOLS estimation, biocapacity, energy consumption, and life expectancy significantly influence the ecological footprint, while industrialization, financial development, and globalization exert a comparatively smaller impact. Researchers and policymakers should consider these determinants for effective sustainable development planning. These findings underscore the intricate interplay of factors shaping the ecological footprint and offer insights for effective policy interventions towards sustainable development.",,
JOUR,Carbon footprint based on lifetime productivity for future cows selected for resilience to climate-related disturbances,"['Zira, S.', 'Bouquet, A.', 'Rydhmer, L.', 'Kargo, M.', 'Puillet, L.']",Journal of Dairy Science,106,8953,2023,2023/12/01/,0022-0302,https://doi.org/10.3168/jds.2023-23492,['https://www.sciencedirect.com/science/article/pii/S0022030223006276'],"['dairy cows', 'body reserves', 'drought', 'breeding goal', 'simulation']","ABSTRACT Droughts, which can affect feed production, are projected to become more common under future climate conditions. In light of this, breeding cattle resilient to changes in feeding regimens is increasingly becoming an important topic. Body reserves can play a crucial role when feed resources are limited. We simulated populations of dairy cows selected with 2 different breeding goals: one reflecting the current breeding goal and the other placing weight on minimum level of body reserves in early lactation and change in body reserves during lactation. We considered this latter as a breeding goal for resilience. We used the 2 dynamic simulation programs ADAM and AQAL to predict performance of the cows after selection. In AQAL, we modeled moderate and severe drought by decreasing feed quality and quantity offered to cows during one year. We compared cows selected with the 2 breeding goals under 3 environments: without disturbances related to climate and with moderate and severe drought. In the environments without disturbances and the moderate drought, the cows selected with the current breeding goal had higher lifetime lactation efficiency (energy invested in milk/energy acquired from feed) and lower carbon footprint per kilogram of protein in milk and meat than cows selected for resilience. However, with severe drought, cows selected for resilience had higher lifetime lactation efficiency and lower carbon footprint per kilogram of protein in milk and meat than those selected with the current breeding goal. This suggests that cows selected for high productive performance do not perform well under very limiting conditions, leading to increased climate impact. The importance of inclusion of body reserves as a resilience trait in dairy cattle breeding depends on the future environment in which the cows will be used.",12,8968
